年份,能源生产总量,原煤,原油,天然气,一次电力及其他能源,水电,核电
1980,63735,69.4,23.8,3,3.8,3.8,0
1981,63227,70.2,22.9,2.7,4.2,4.2,0
1982,66778,71.3,21.8,2.4,4.5,4.5,0
1983,71270,71.6,21.3,2.3,4.8,4.8,0
1984,77855,72.4,21.0 ,2.1,4.5,4.5,0
1985,85546,72.8,20.9,2.0 ,4.3,4.3,0
1986,88124,72.4,21.2,2.1,4.3,4.3,0
1987,91266,72.6,21.0 ,2.0 ,4.4,4.4,0
1988,95801,73.1,20.4,2.0 ,4.5,4.5,0
1989,101639,74.1,19.3,2.0 ,4.6,4.6,0
1990,103922,74.2,19.0 ,2.0 ,4.8,4.8,0
1991,104844,74.1,19.2,2.0 ,4.7,4.7,0
1992,107256,74.3,18.9,2.0 ,4.8,4.8,0
1993,111059,74.0 ,18.7,2.0 ,5.3,5.2,0.1
1994,118729,74.6,17.6,1.9,5.9,5.4,0.5
1995,129034,75.3,16.6,1.9,6.2,5.8,0.4
1996,133032,75.0 ,16.9,2.0 ,6.1,5.7,0.4
1997,133460,74.2,17.2,2.1,6.5,6.0 ,0.4
1998,129834,73.3,17.7,2.2,6.8,6.4,0.4
1999,131935,73.9,17.3,2.5,6.3,5.9,0.4
2000,138570,72.9,16.8,2.6,7.1,6.1,0.5
2001,147425,72.6,15.9,2.7,8.8,7.1,0.4
2002,156277,73.1,15.3,2.8,8.8,6.8,0.6
2003,178299,75.7,13.6,2.6,8.1,5.8,0.9
2004,206108,76.7,12.2,2.7,8.4,6.2,0.9
2005,229037,77.4,11.3,2.9,8.4,6.2,0.8
2006,244763,77.5,10.8,3.2,8.5,6.3,0.8
2007,264173,77.8,10.1,3.5,8.6,6.3,0.8
2008,277419,76.8,9.8,3.9,9.5,7.1,0.8
2009,286092,76.8,9.4,4.0 ,9.8,7.1,0.8
2010,312125,76.2,9.3,4.1,10.4,7.4,0.8
2011,340178,77.8,8.5,4.1,9.6,6.5,0.8
2012,351041,76.2,8.5,4.1,11.2,7.8,0.9
2013,358784,75.4,8.4,4.4,11.8,8.0 ,1.0 
2014,362212,73.5,8.4,4.7,13.5,9.1,1.1
2015,362193,72.2,8.5,4.8,14.5,9.6,1.4
2016,345954,69.8,8.3,5.2,16.7,10.4,1.9
2017,358867,69.6,7.6,5.4,17.4,10.0 ,2.1
2018,378859,69.2,7.2,5.4,18.2,9.7,2.3
2019,397317,68.5,6.9,5.6,19.0 ,9.8,2.6
2020,407295,67.5,6.8,6.0 ,19.7,9.9,2.7
2021,427115,66.7,6.7,6.0 ,20.6,9.3,2.8
